wordId,text,score
W1,prepare,16.88
W159,work,7.0
W133,time,6.92
W549,thing,6.62
W178,lot,6.49
W59,people,6.48
W180,computer,6.46
W324,learn,6.44
W120,start,6.39
W340,good,6.35
W460,post,6.35
W90,talk,6.34
W368,student,6.32
W190,include,6.31
W291,write,6.31
W149,problem,6.31
W135,base,6.28
W53,set,6.28
W366,datum,6.25
W60,call,6.24
W270,build,6.24
W147,number,6.23
W390,teach,6.22
W732,great,6.2
W166,system,6.19
W893,interesting,6.19
W1061,find,6.19
W885,idea,6.16
W475,code,6.15
W484,today,6.15
W219,day,6.14
W239,point,6.13
W629,question,6.11
W870,create,6.11
W339,experience,6.1
W351,read,6.1
W495,user,6.09
W417,understand,6.09
W345,school,6.08
W699,science,6.08
W1091,application,6.08
W864,project,6.07
W365,support,6.06
W185,place,6.04
W678,program,6.04
W599,case,6.03
W355,kind,6.02
W367,week,6.01
W591,big,6.01
W222,level,6.01